player_id,name,nation,position
player_patson_daka,Patson Daka,ZAM,FW
player_ricardo_pereira_captain,Ricardo Pereira (captain),POR,DF
player_oliver_skipp,Oliver Skipp,ENG,MF
player_jannik_vestergaard,Jannik Vestergaard,DEN,DF
player_boubakary_soumare,Boubakary Soumaré,FRA,MF
player_louis_page,Louis Page,ENG,MF
player_wanya_marcal,Wanya Marçal,POR,MF
player_jeremy_monga,Jeremy Monga,ENG,FW
player_aaron_ramsey_on_loan_from_burnley,Aaron Ramsey (on loan from Burnley),ENG,MF
player_asmir_begovic,Asmir Begović,BIH,GK
player_luke_thomas,Luke Thomas,ENG,DF
player_michael_golding,Michael Golding,ENG,MF
player_silko_thomas,Silko Thomas,ENG,MF
player_olabade_aluko,Olabade Aluko,ENG,DF
player_jake_evans,Jake Evans,ENG,FW
player_dorde_petrovic,Đorđe Petrović,SRB,GK
player_julian_araujo,Julián Araujo,MEX,DF
player_adrien_truffert,Adrien Truffert,FRA,DF
player_lewis_cook_vice_captain,Lewis Cook (vice-captain),ENG,MF
player_marcos_senesi,Marcos Senesi,ARG,DF
player_julio_soler,Julio Soler,ARG,DF
player_david_brooks,David Brooks,WAL,MF
player_alex_scott,Alex Scott,ENG,MF
player_evanilson,Evanilson,BRA,FW
player_ryan_christie,Ryan Christie,SCO,MF
player_ben_gannon_doak,Ben Gannon-Doak,SCO,FW
player_tyler_adams,Tyler Adams,USA,MF
player_adam_smith_captain,Adam Smith (captain),ENG,DF
player_marcus_tavernier,Marcus Tavernier,ENG,MF
player_bafode_diakite,Bafodé Diakité,FRA,DF
player_justin_kluivert,Justin Kluivert,NED,FW
player_alex_jimenez_on_loan_from_ac_milan,Álex Jiménez (on loan from AC Milan),ESP,DF
player_amine_adli,Amine Adli,MAR,MF
player_eli_junior_kroupi,Eli Junior Kroupi,FRA,FW
player_james_hill,James Hill,ENG,DF
player_antoine_semenyo,Antoine Semenyo,GHA,FW
player_enes_unal,Enes Ünal,TUR,FW
player_owen_bevan,Owen Bevan,WAL,DF
player_will_dennis,Will Dennis,ENG,GK
player_veljko_milosavljevic,Veljko Milosavljević,SRB,DF
player_matai_akinmboni,Matai Akinmboni,USA,DF
player_remy_rees_dottin,Remy Rees-Dottin,ENG,FW
player_bernd_leno_vice_captain,Bernd Leno (vice-captain),GER,GK
player_kenny_tete,Kenny Tete,NED,DF
player_calvin_bassey,Calvin Bassey,NGA,DF
player_joachim_andersen,Joachim Andersen,DEN,DF
player_harrison_reed,Harrison Reed,ENG,MF
player_raul_jimenez,Raúl Jiménez,MEX,FW
player_harry_wilson,Harry Wilson,WAL,MF
player_rodrigo_muniz,Rodrigo Muniz,BRA,FW
player_tom_cairney_captain,Tom Cairney (captain),SCO,MF
player_adama_traore,Adama Traoré,ESP,FW
player_jorge_cuenca,Jorge Cuenca,ESP,DF
player_sander_berge,Sander Berge,NOR,MF
player_alex_iwobi,Alex Iwobi,NGA,MF
player_jonah_kusi_asare_on_loan_from_bayern_munich,Jonah Kusi-Asare (on loan from Bayern Munich),SWE,FW
player_samuel_chukwueze_on_loan_from_ac_milan,Samuel Chukwueze (on loan from AC Milan),NGA,FW
player_sasa_lukic,Saša Lukić,SRB,MF
player_timothy_castagne,Timothy Castagne,BEL,DF
player_kevin,Kevin,BRA,FW
player_benjamin_lecomte,Benjamin Lecomte,FRA,GK
player_josh_king,Josh King,ENG,MF
player_ryan_sessegnon,Ryan Sessegnon,ENG,MF
player_issa_diop,Issa Diop,FRA,DF
player_emile_smith_rowe,Emile Smith Rowe,ENG,MF
player_antonee_robinson_vice_captain,Antonee Robinson (vice-captain),USA,DF
player_jordan_pickford_3rd_captain,Jordan Pickford (3rd captain),ENG,GK
player_nathan_patterson,Nathan Patterson,SCO,DF
player_michael_keane,Michael Keane,ENG,DF
player_james_tarkowski_vice_captain,James Tarkowski (vice-captain),ENG,DF
player_dwight_mcneil,Dwight McNeil,ENG,FW
player_beto,Beto,GNB,FW
player_iliman_ndiaye,Iliman Ndiaye,SEN,FW
player_thierno_barry,Thierno Barry,FRA,FW
player_mark_travers,Mark Travers,IRL,GK
player_jake_o_brien,Jake O'Brien,IRL,DF
player_vitaliy_mykolenko,Vitaliy Mykolenko,UKR,DF
player_jack_grealish_on_loan_from_manchester_city,Jack Grealish (on loan from Manchester City),ENG,MF
player_tyler_dibling,Tyler Dibling,ENG,FW
player_kiernan_dewsbury_hall,Kiernan Dewsbury-Hall,ENG,MF
player_seamus_coleman_captain,Séamus Coleman (captain),IRL,DF
player_carlos_alcaraz,Carlos Alcaraz,ARG,MF
player_idrissa_gueye,Idrissa Gueye,SEN,MF
player_tom_king,Tom King,WAL,GK
player_jarrad_branthwaite,Jarrad Branthwaite,ENG,DF
player_merlin_rohl_on_loan_from_sc_freiburg,Merlin Röhl (on loan from SC Freiburg),GER,MF
player_james_garner,James Garner,ENG,MF
player_harry_tyrer,Harry Tyrer,ENG,GK
player_adam_aznou,Adam Aznou,MAR,DF
player_tim_iroegbunam,Tim Iroegbunam,ENG,MF
player_dean_henderson,Dean Henderson,ENG,GK
player_daniel_munoz,Daniel Muñoz,COL,DF
player_tyrick_mitchell,Tyrick Mitchell,ENG,DF
player_maxence_lacroix,Maxence Lacroix,FRA,DF
player_marc_guehi_captain,Marc Guéhi (captain),ENG,DF
player_ismaila_sarr,Ismaïla Sarr,SEN,MF
player_jefferson_lerma,Jefferson Lerma,COL,MF
player_eddie_nketiah,Eddie Nketiah,ENG,FW
player_yeremy_pino,Yéremy Pino,ESP,MF
player_christantus_uche_on_loan_from_getafe,Christantus Uche (on loan from Getafe),NGA,MF
player_jean_philippe_mateta,Jean-Philippe Mateta,FRA,FW
player_nathaniel_clyne,Nathaniel Clyne,ENG,DF
player_daichi_kamada,Daichi Kamada,JPN,MF
player_will_hughes,Will Hughes,ENG,MF
player_adam_wharton,Adam Wharton,ENG,MF
player_romain_esse,Romain Esse,ENG,MF
player_jaydee_canvot,Jaydee Canvot,FRA,DF
player_borna_sosa,Borna Sosa,CRO,DF
player_chris_richards,Chris Richards,USA,DF
player_cheick_doucoure,Cheick Doucouré,MLI,MF
player_naouirou_ahamada,Naouirou Ahamada,FRA,MF
player_remi_matthews,Remi Matthews,ENG,GK
player_chadi_riad,Chadi Riad,MAR,DF
player_caleb_kporha,Caleb Kporha,ENG,DF
player_kaden_rodney,Kaden Rodney,ENG,MF
player_walter_benitez,Walter Benítez,ARG,GK
player_justin_devenny,Justin Devenny,NIR,MF
player_rio_cardines,Rio Cardines,TRI,DF
player_robert_sanchez,Robert Sánchez,ESP,GK
player_marc_cucurella,Marc Cucurella,ESP,DF
player_tosin_adarabioyo,Tosin Adarabioyo,ENG,DF
player_benoit_badiashile,Benoît Badiashile,FRA,DF
player_levi_colwill,Levi Colwill,ENG,DF
player_pedro_neto,Pedro Neto,POR,FW
player_enzo_fernandez_vice_captain,Enzo Fernández (vice-captain),ARG,MF
player_liam_delap,Liam Delap,ENG,FW
player_cole_palmer,Cole Palmer,ENG,MF
player_jamie_gittens,Jamie Gittens,ENG,FW
player_filip_jorgensen,Filip Jörgensen,DEN,GK
player_dario_essugo,Dário Essugo,POR,MF
player_andrey_santos,Andrey Santos,BRA,MF
player_joao_pedro,João Pedro,BRA,FW
player_jorrel_hato,Jorrel Hato,NED,DF
player_trevoh_chalobah,Trevoh Chalobah,ENG,DF
player_reece_james_captain,Reece James (captain),ENG,DF
player_moises_caicedo_3rd_captain,Moisés Caicedo (3rd captain),ECU,MF
player_malo_gusto,Malo Gusto,FRA,DF
player_wesley_fofana,Wesley Fofana,FRA,DF
player_tyrique_george,Tyrique George,ENG,FW
player_josh_acheampong,Josh Acheampong,ENG,DF
